goos: darwin
goarch: arm64
pkg: github.com/thesyncim/goav/pipeline
cpu: Apple M4 Max
BenchmarkDirectFanoutParallel/N=64-2        	    1000	      1420 ns/op	      12 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	      1751 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	      1253 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	      1216 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	       831.0 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	      1034 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	      1194 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	      1191 ns/op	      26 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	      1346 ns/op	      27 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	      1312 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	      1300 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	      1188 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	      1166 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3329 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3260 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3203 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3225 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3221 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3165 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      6076 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      6186 ns/op	      77 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      9064 ns/op	      77 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      8691 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      8039 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	     11686 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      4998 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      6789 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      7023 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	     10492 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      5792 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      5282 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      6619 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      6813 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      5715 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      5716 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      5140 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      6325 ns/op	      88 B/op	       0 allocs/op
PASS
ok  	github.com/thesyncim/goav/pipeline	0.609s
